,SP500_Return,Trading_Range,Volume,Volume_Change,Initial_Claims,Mortgage_Rate,Weekly_Economic_Index,Initial_Claims_WoW_Change,Mortgage_Rate_WoW_Change,Weekly_Economic_Index_WoW_Change,Returns_Lag1,Returns_Lag2,Returns_MA4,Returns_Vol4
2022-02-25,0.008227374971453427,6.578687077412394,21848520000,-0.031637675879363614,222000.0,3.89,6.21,-4.31034482758621,-0.7653061224489721,22.24409448818898,-0.015789930243801376,-0.018195557489162795,-0.0025653173085429803,0.016950109695841997
2022-03-04,-0.012721605236129307,3.206880759171832,28092740000,0.2857960173046046,208000.0,3.76,5.17,-6.3063063063063085,-3.3419023136246895,-16.747181964573265,0.008227374971453427,-0.015789930243801376,-0.009619929499410013,0.012107256417205425
2022-03-11,-0.028774265621690165,4.067939682346566,29765730000,0.05955239681141822,220000.0,3.85,4.74,5.769230769230771,2.393617021276606,-8.317214700193421,-0.012721605236129307,0.008227374971453427,-0.012264606532541855,0.015331089375125315
2022-03-18,0.06155827115194179,7.296975092579633,30540660000,0.026034301863250064,215000.0,4.16,4.69,-2.2727272727272707,8.051948051948044,-1.0548523206751037,-0.028774265621690165,-0.012721605236129307,0.007072443816393936,0.03935661825684126
2022-03-25,0.01791122338348039,2.7513953810222884,22611740000,-0.25961848892591055,206000.0,4.42,4.88,-4.1860465116279055,6.25,4.051172707889106,0.06155827115194179,-0.028774265621690165,0.009493405919400677,0.03974724832554818
2022-04-01,0.000616281680495101,2.878047052576379,23169700000,0.024675677325141754,212000.0,4.67,4.4,2.9126213592232997,5.65610859728507,-9.83606557377048,0.01791122338348039,0.06155827115194179,0.01282787764855678,0.03777279910032639
2022-04-08,-0.012666487717779784,3.2226711443300307,23239490000,0.0030121235924505108,213000.0,4.72,4.68,0.4716981132075526,1.070663811563155,6.363636363636349,0.000616281680495101,0.01791122338348039,0.016854822124534374,0.03232497625224462
2022-04-15,-0.021319959090500107,2.046409533328043,16329620000,-0.2973331170348402,215000.0,5.0,4.41,0.9389671361502261,5.932203389830515,-5.769230769230759,-0.012666487717779784,0.000616281680495101,-0.0038647354360761,0.017092177284403837
2022-04-22,-0.027503150280612898,5.748398814382376,21597890000,0.3226204896378482,209000.0,5.11,4.42,-2.7906976744186074,2.200000000000002,0.22675736961450532,-0.021319959090500107,-0.012666487717779784,-0.015218328852099422,0.012184601114937358
2022-04-29,-0.032738019375660454,4.4655168841624215,24637900000,0.1407549533773902,210000.0,5.1,4.34,0.4784688995215225,-0.1956947162426781,-1.8099547511312264,-0.027503150280612898,-0.021319959090500107,-0.02355690411613831,0.008630774947373594
